title,rate
Jumanji                                                                         ,5
Thor:Ragnarok                                                                   ,3
Spider Man                                                                      ,4
Wonder Woman                                                                    ,5
Fast & Furious 8,5
Cinderella                                                                      ,3
Kong : Skull Island                                                             ,2
The Lego Batman                                                                 ,4
The Wolverine                                                                   ,2
